Prop_1,Prop_2,Prop_3,Prop_4,Prop_5,Prop_6,Prop_7,Prop_8,Prop_9
joystick,radio,electric_guitar,oscilloscope,harmonica,whistle,comic_book,loudspeaker,slot
desktop_computer,desk,screen,monitor,grand_piano,stage,electric_guitar,computer_keyboard,acoustic_guitar
television,bulletproof_vest,mouse,desktop_computer,breastplate,stage,jersey,throne,home_theater
web_site,knee_pad,comic_book,scuba_diver,traffic_light,television,lawn_mower,racer,electric_guitar
projector,desktop_computer,screen,radio,CD_player,file,monitor,desk,cannon
desk,desktop_computer,screen,monitor,television,computer_keyboard,notebook,laptop,analog_clock
home_theater,television,desk,desktop_computer,monitor,throne,screen,barber_chair,cinema
iPod,cellular_telephone,seat_belt,punching_bag,knee_pad,reflex_camera,microphone,jersey,bulletproof_vest
typewriter_keyboard,space_bar,computer_keyboard,desktop_computer,screen,printer,mouse,joystick,loudspeaker
bulletproof_vest,electric_guitar,Christmas_stocking,apron,jersey,sock,holster,can_opener,maillot
television,web_site,monitor,screen,barber_chair,barbershop,folding_chair,desktop_computer,brassiere
barber_chair,military_uniform,desktop_computer,radio,desk,joystick,motor_scooter,warplane,notebook
throne,spotlight,stage,grand_piano,home_theater,tripod,loudspeaker,submarine,desk
home_theater,screen,monitor,television,slot,desktop_computer,computer_keyboard,throne,stage
web_site,teddy,television,book_jacket,jeep,space_shuttle,abaya,Lakeland_terrier,tractor
bulletproof_vest,digital_watch,radio,backpack,digital_clock,switch,knee_pad,web_site,electric_guitar
snowmobile,bicycle-built-for-two,web_site,electric_guitar,bobsled,knee_pad,backpack,grand_piano,carpenter's_kit
web_site,abaya,stole,seat_belt,sock,bow_tie,kimono,backpack,Windsor_tie
military_uniform,breastplate,reflex_camera,gasmask,chain_mail,backpack,joystick,cuirass,perfume
desktop_computer,television,screen,monitor,desk,home_theater,web_site,laptop,notebook
web_site,jersey,comic_book,television,banjo,space_shuttle,sax,envelope,book_jacket
punching_bag,mouse,sandal,water_bottle,cellular_telephone,chain,abaya,hook,backpack
desktop_computer,monitor,laptop,screen,projector,mouse,joystick,spotlight,notebook
jigsaw_puzzle,confectionery,maze,grocery_store,cauliflower,balloon,carton,monitor,web_site
soccer_ball,buckle,sandal,mouse,wallet,mousetrap,pencil_sharpener,basketball,hair_slide
electric_fan,projector,reflex_camera,sandal,buckle,sewing_machine,lens_cap,magnetic_compass,pencil_sharpener
cassette,wallet,buckle,loupe,cassette_player,pencil_sharpener,lighter,chest,mousetrap
face_powder,Band_Aid,buckle,envelope,lipstick,tray,scale,lighter,pencil_box
mouse,space_heater,goblet,red_wine,wine_bottle,stove,cellular_telephone,perfume,fire_screen
torch,stage,microphone,spotlight,reflex_camera,drum,cornet,mask,gasmask
jean,moped,bicycle-built-for-two,miniskirt,cellular_telephone,groom,Loafer,suit,marimba
computer_keyboard,monitor,scoreboard,medicine_chest,screen,desktop_computer,abacus,loudspeaker,waffle_iron
mouse,hand_blower,punching_bag,stopwatch,Loafer,clog,matchstick,chain,shield
necklace,airship,punching_bag,balloon,swing,parachute,spotlight,mouse,hair_slide
binder,wallet,packet,handkerchief,Band_Aid,purse,envelope,jean,laptop
pinwheel,balloon,envelope,ping-pong_ball,pool_table,rule,shower_curtain,crib,maraca
mailbag,purse,computer_keyboard,radio,menu,hard_disc,screen,mouse,laptop
computer_keyboard,space_bar,mouse,monitor,screen,medicine_chest,laptop,typewriter_keyboard,vending_machine
pool_table,table_lamp,web_site,spotlight,maraca,candle,balloon,plate_rack,bubble
bakery,pill_bottle,clog,dough,thimble,space_bar,cucumber,shoe_shop,necklace
home_theater,monitor,stage,desktop_computer,projector,television,screen,washbasin,spotlight
mouse,modem,radio,ski,pole,reel,racer,pencil_sharpener,paddle
restaurant,groom,menu,lab_coat,bakery,radio,space_shuttle,gown,washbasin
mouse,perfume,sandal,cellular_telephone,goblet,spotlight,wine_bottle,backpack,clog
iron,mortarboard,envelope,sewing_machine,binder,web_site,jigsaw_puzzle,CD_player,toilet_seat
digital_clock,analog_clock,comic_book,scuba_diver,loudspeaker,web_site,monitor,cab,stage
web_site,television,screen,notebook,monitor,laptop,jersey,comic_book,book_jacket
space_bar,desktop_computer,computer_keyboard,mouse,modem,remote_control,typewriter_keyboard,notebook,joystick
tray,doormat,handkerchief,jersey,envelope,pillow,purse,wallet,face_powder
pick,bolo_tie,microphone,ladle,spatula,whistle,jersey,hair_slide,wooden_spoon
digital_clock,scoreboard,web_site,cassette_player,stopwatch,cassette,bulletproof_vest,analog_clock,tape_player
buckle,reflex_camera,microphone,lighter,sandal,combination_lock,lens_cap,binoculars,sunglass
oscilloscope,mouse,football_helmet,lighter,desktop_computer,French_horn,cornet,shield,theater_curtain
monitor,home_theater,screen,digital_clock,analog_clock,television,scoreboard,cinema,desktop_computer
seat_belt,crash_helmet,knee_pad,packet,backpack,mailbag,cellular_telephone,poncho,loudspeaker
shield,bolo_tie,hair_slide,scabbard,ballpoint,pick,breastplate,ladle,hook
iPod,cellular_telephone,envelope,jersey,notebook,binder,wallet,hard_disc,lighter
studio_couch,desk,dining_table,wallet,monitor,quilt,wardrobe,four-poster,desktop_computer
computer_keyboard,notebook,space_bar,laptop,mouse,desktop_computer,desk,typewriter_keyboard,hand-held_computer
mouse,radio,syringe,pencil_sharpener,vacuum,modem,bubble,CD_player,screwdriver
iPod,cellular_telephone,laptop,digital_clock,stopwatch,notebook,jersey,web_site,desktop_computer
projector,buckle,microphone,radio,cellular_telephone,CD_player,reflex_camera,seat_belt,wing
web_site,envelope,laptop,comic_book,hard_disc,remote_control,menu,pick,jersey
envelope,web_site,dishwasher,printer,paper_towel,refrigerator,washbasin,binder,soap_dispenser
mouse,lampshade,hand_blower,crash_helmet,microphone,toaster,space_heater,mask,perfume
wallet,envelope,purse,mailbag,shovel,loupe,paintbrush,muzzle,hook
digital_clock,abacus,remote_control,web_site,hand-held_computer,analog_clock,desktop_computer,computer_keyboard,modem
chain,bolo_tie,necklace,hook,padlock,buckle,pick,microphone,whistle
combination_lock,reflex_camera,lens_cap,padlock,gasmask,whistle,loudspeaker,web_site,loupe
bonnet,gasmask,lens_cap,stethoscope,microphone,ballplayer,lab_coat,revolver,bathing_cap
web_site,book_jacket,envelope,matchstick,street_sign,pick,packet,perfume,padlock
wall_clock,analog_clock,mailbag,hand-held_computer,binder,envelope,cellular_telephone,radio,hard_disc
projector,desktop_computer,mouse,monitor,screen,CD_player,television,desk,home_theater
syringe,damselfly,traffic_light,dragonfly,ambulance,screwdriver,hair_slide,lighter,wing
toaster,abacus,thimble,screw,wall_clock,coil,matchstick,radiator,maze
stage,fountain,balance_beam,spotlight,balloon,theater_curtain,toyshop,feather_boa,joystick
safe,reflex_camera,projector,radio,combination_lock,spotlight,cuirass,toaster,monitor
umbrella,sunglasses,envelope,syringe,drumstick,pinwheel,notebook,bubble,spatula
